ID,Method,Timestamp,Accuracy,IoU,Precision,Recall,F1,Dice,Specificity
1522,U-Net,2024-12-09T18:13:07.207823,0.6583353678385416,0.1627070824357427,0.162824001875465,0.3328436887944326,0.2186744967591356,0.2186744967568906,0.6668303381670463
1521,Otsu,2024-12-09T18:13:03.641767,0.038543701171875,0.02363973271941153,0.18288444830582104,0.025104353011329756,0.0441484899328859,0.02207424496644295,0.8342176411069125
1520,C-means,2024-12-09T18:12:53.165138,0.0367431640625,0.024155157092641752,0.07864450604830152,0.14504398028813734,0.045213697492576414,0.045213697492576414,0.8259641020168479
1519,Otsu,2024-12-09T18:12:44.793509,0.038543701171875,0.02363973271941153,0.18288444830582104,0.025104353011329756,0.0441484899328859,0.02207424496644295,0.8342176411069125
1518,U-Net,2024-12-09T18:12:07.333753,0.91009521484375,0.422687352875295,0.6101569586618092,0.5190676809125315,0.5306675348719946,0.5306675348447703,0.907211928974563
1517,Otsu,2024-12-09T18:09:19.525381,0.099639892578125,0.0336641089050269,0.15339111526490107,0.04119624893385402,0.06201930054991998,0.051682750458266646,0.7906077674213828
1516,C-means,2024-12-09T18:09:02.697922,0.2870941162109375,0.16757723134682823,0.2527622315675,0.2783506143252043,0.24903481890075116,0.24903481890075116,0.8611548181637975
1515,Otsu,2024-12-09T18:08:56.717253,0.099639892578125,0.0336641089050269,0.15339111526490107,0.04119624893385402,0.06201930054991998,0.051682750458266646,0.7906077674213828
1514,U-Net,2024-12-09T18:08:47.590330,0.91009521484375,0.422687352875295,0.6101569586618092,0.5190676809125315,0.5306675348719946,0.5306675348447703,0.907211928974563
1513,Otsu,2024-12-09T18:07:53.204153,0.33001708984375,0.11002080567297957,0.11002248471344707,0.3333179219258095,0.16543705658501137,0.08271852829250569,0.8333420651357275
1512,U-Net,2024-12-09T18:07:41.212520,0.7799784342447916,0.2234862366642235,0.2234862366642235,0.3333333333333333,0.2675746911041028,0.2675746911016569,0.6671622735901029
1511,C-means,2024-12-09T18:07:00.662803,0.171112060546875,0.09383480399377593,0.17129620121665093,0.16985974126575473,0.15695730293270982,0.15695730293270982,0.8384972478980277
1510,Otsu,2024-12-09T18:06:53.225318,0.099639892578125,0.0336641089050269,0.15339111526490107,0.04119624893385402,0.06201930054991998,0.051682750458266646,0.7906077674213828
1509,U-Net,2024-12-09T18:06:48.396622,0.91009521484375,0.422687352875295,0.6101569586618092,0.5190676809125315,0.5306675348719946,0.5306675348447703,0.907211928974563
1508,Otsu,2024-12-09T17:56:52.504711,0.099639892578125,0.0336641089050269,0.15339111526490107,0.04119624893385402,0.06201930054991998,0.051682750458266646,0.7906077674213828
1507,U-Net,2024-12-09T17:56:48.839917,0.91009521484375,0.422687352875295,0.6101569586618092,0.5190676809125315,0.5306675348719946,0.5306675348447703,0.907211928974563
1506,U-Net,2024-12-09T17:48:31.508592,1.0,1.0,1.0,1.0,1.0,0.9999999999923704,0.0
1505,C-means,2024-12-09T17:48:21.061855,0.030848185221354168,0.01595593505697204,0.03306530941270263,0.3912221968322345,0.030602087851427623,0.030602087851427623,0.8280444444648336
1504,Otsu,2024-12-09T17:48:12.333532,0.000701904296875,0.00017547607421875,0.25,0.00017547607421875,0.00035070598639870695,0.0002338039909324713,0.6667836507161459
1503,U-Net,2024-12-09T17:48:08.491692,1.0,1.0,1.0,1.0,1.0,0.9999999999923704,0.0
1502,U-Net,2024-12-09T17:45:15.434682,1.0,1.0,1.0,1.0,1.0,0.9999999999923704,0.0
1501,Otsu,2024-12-09T17:44:06.618586,0.2960205078125,0.07154749298678112,0.07912972174024437,0.16176923799989132,0.10548717755786334,0.08790598129821946,0.8355554500789398
1500,C-means,2024-12-09T17:42:04.895631,0.17111714680989584,0.09383565235162417,0.17129665624535476,0.16984726677560558,0.1569563659540638,0.1569563659540638,0.8384984994124952
1499,U-Net,2024-12-09T17:42:00.354417,0.91009521484375,0.422687352875295,0.6101569586618092,0.5190676809125315,0.5306675348719946,0.5306675348447703,0.907211928974563
1498,C-means,2024-12-09T17:40:35.252656,0.1396484375,0.0730527261810804,0.09031635211312189,0.18119108675854068,0.11883584930908264,0.11883584930908264,0.8306831161295497
1497,C-means,2024-12-09T17:40:30.884332,0.2870992024739583,0.16758203194703084,0.25277248005591973,0.2783381398350552,0.24904200826597758,0.24904200826597758,0.8611555944531603
1496,C-means,2024-12-09T17:40:26.186813,0.10114034016927083,0.05009734686077232,0.06728121698484756,0.1409433378117888,0.08842797978975155,0.08842797978975155,0.8248631770751415
1495,C-means,2024-12-09T17:40:21.421304,0.171112060546875,0.09383480399377593,0.17129620121665093,0.16985974126575473,0.15695730293270982,0.15695730293270982,0.8384972478980277
1494,C-means,2024-12-09T17:40:14.100804,0.15181477864583334,0.1050567961979395,0.17010313623954212,0.18226495643529936,0.16285889582193386,0.16285889582193386,0.8361487072345098
1493,C-means,2024-12-09T17:40:08.853802,0.15181986490885416,0.10505712822230943,0.17012552979643472,0.1822524819451502,0.1628599527655429,0.1628599527655429,0.8361494835238726
1492,U-Net,2024-12-09T17:39:51.910463,0.91009521484375,0.422687352875295,0.6101569586618092,0.5190676809125315,0.5306675348719946,0.5306675348447703,0.907211928974563
1491,C-means,2024-12-09T14:42:48.268535,0.10114034016927083,0.05009734686077232,0.06728121698484756,0.1409433378117888,0.08842797978975155,0.08842797978975155,0.8248631770751415
1490,C-means,2024-12-09T14:42:36.934489,0.14404805501302084,0.08315276790906975,0.14904305389804018,0.19020770249127125,0.1472344050129881,0.1472344050129881,0.83282306838515
